name,weight,treatment,lipid,lipid_class,area,batch
20231228_Laezza_Lipidomics_#5,100,control,CE(16:1)+H,CE,0.00232,1
20231228_Laezza_Lipidomics_#6,52,control,CE(16:1)+H,CE,0.00814,1
20231228_Laezza_Lipidomics_#7,86,control,CE(16:1)+H,CE,0.00911,1
20231228_Laezza_Lipidomics_#8,97,control,CE(16:1)+H,CE,0.00355,1
20231228_Laezza_Lipidomics_#9,116,control,CE(16:1)+H,CE,0.00212,1
20231228_Laezza_Lipidomics_#10,101,control,CE(16:1)+H,CE,0.00437,1
20231228_Laezza_Lipidomics_#11,135,deltamethrin,CE(16:1)+H,CE,0.00164,1
20231228_Laezza_Lipidomics_#12,99,deltamethrin,CE(16:1)+H,CE,0.0115,1
20231228_Laezza_Lipidomics_#13,113,deltamethrin,CE(16:1)+H,CE,0.0131,1
20231228_Laezza_Lipidomics_#14,94,deltamethrin,CE(16:1)+H,CE,0.00566,1
20231228_Laezza_Lipidomics_#15,113,deltamethrin,CE(16:1)+H,CE,0.00758,1
20231228_Laezza_Lipidomics_#16,111,deltamethrin,CE(16:1)+H,CE,0.00653,1
20231228_Laezza_Lipidomics_#17,104,deltamethrin,CE(16:1)+H,CE,0.00498,1
20231228_Laezza_Lipidomics_#18,97,deltamethrin,CE(16:1)+H,CE,0.0121,1
20231228_Laezza_Lipidomics_#19,101,deltamethrin,CE(16:1)+H,CE,0.0203,1
20231228_Laezza_Lipidomics_#20,126,deltamethrin,CE(16:1)+H,CE,0.00837,1
20231228_Laezza_Lipidomics_#1,106,control,CE(18:1)+H,CE,0.021,1
20231228_Laezza_Lipidomics_#2,82,control,CE(18:1)+H,CE,0.0179,1
20231228_Laezza_Lipidomics_#3,92,control,CE(18:1)+H,CE,0.00449,1
20231228_Laezza_Lipidomics_#4,105,control,CE(18:1)+H,CE,0.0054,1
20231228_Laezza_Lipidomics_#5,100,control,CE(18:1)+H,CE,0.00356,1
20231228_Laezza_Lipidomics_#6,52,control,CE(18:1)+H,CE,0.00577,1
20231228_Laezza_Lipidomics_#7,86,control,CE(18:1)+H,CE,0.00858,1
20231228_Laezza_Lipidomics_#8,97,control,CE(18:1)+H,CE,0.00424,1
20231228_Laezza_Lipidomics_#9,116,control,CE(18:1)+H,CE,0.00687,1
20231228_Laezza_Lipidomics_#10,101,control,CE(18:1)+H,CE,0.00941,1
20231228_Laezza_Lipidomics_#11,135,deltamethrin,CE(18:1)+H,CE,0.0106,1
20231228_Laezza_Lipidomics_#12,99,deltamethrin,CE(18:1)+H,CE,0.00361,1
20231228_Laezza_Lipidomics_#13,113,deltamethrin,CE(18:1)+H,CE,0.0109,1
20231228_Laezza_Lipidomics_#14,94,deltamethrin,CE(18:1)+H,CE,0.00438,1
20231228_Laezza_Lipidomics_#15,113,deltamethrin,CE(18:1)+H,CE,0.00726,1
20231228_Laezza_Lipidomics_#16,111,deltamethrin,CE(18:1)+H,CE,0.0175,1
20231228_Laezza_Lipidomics_#17,104,deltamethrin,CE(18:1)+H,CE,0.00396,1
20231228_Laezza_Lipidomics_#18,97,deltamethrin,CE(18:1)+H,CE,0.0167,1
20231228_Laezza_Lipidomics_#19,101,deltamethrin,CE(18:1)+H,CE,0.0236,1
20231228_Laezza_Lipidomics_#20,126,deltamethrin,CE(18:1)+H,CE,0.0116,1
20231228_Laezza_Lipidomics_#1,106,control,CE(18:2)+H,CE,0.0122,1
20231228_Laezza_Lipidomics_#2,82,control,CE(18:2)+H,CE,0.0116,1
20231228_Laezza_Lipidomics_#3,92,control,CE(18:2)+H,CE,0.00904,1
20231228_Laezza_Lipidomics_#4,105,control,CE(18:2)+H,CE,0.00634,1
20231228_Laezza_Lipidomics_#5,100,control,CE(18:2)+H,CE,0.00296,1
20231228_Laezza_Lipidomics_#6,52,control,CE(18:2)+H,CE,0.00579,1
20231228_Laezza_Lipidomics_#7,86,control,CE(18:2)+H,CE,0.0107,1
20231228_Laezza_Lipidomics_#8,97,control,CE(18:2)+H,CE,0.00289,1
20231228_Laezza_Lipidomics_#9,116,control,CE(18:2)+H,CE,0.00262,1
20231228_Laezza_Lipidomics_#10,101,control,CE(18:2)+H,CE,0.00437,1
20231228_Laezza_Lipidomics_#11,135,deltamethrin,CE(18:2)+H,CE,0.00986,1
20231228_Laezza_Lipidomics_#12,99,deltamethrin,CE(18:2)+H,CE,0.00718,1
20231228_Laezza_Lipidomics_#13,113,deltamethrin,CE(18:2)+H,CE,0.00557,1
20231228_Laezza_Lipidomics_#14,94,deltamethrin,CE(18:2)+H,CE,0.00728,1
20231228_Laezza_Lipidomics_#15,113,deltamethrin,CE(18:2)+H,CE,0.00367,1
20231228_Laezza_Lipidomics_#16,111,deltamethrin,CE(18:2)+H,CE,0.0159,1
20231228_Laezza_Lipidomics_#17,104,deltamethrin,CE(18:2)+H,CE,0.00942,1
20231228_Laezza_Lipidomics_#18,97,deltamethrin,CE(18:2)+H,CE,0.00706,1
20231228_Laezza_Lipidomics_#19,101,deltamethrin,CE(18:2)+H,CE,0.033,1
20231228_Laezza_Lipidomics_#20,126,deltamethrin,CE(18:2)+H,CE,0.00774,1
20231228_Laezza_Lipidomics_#1,106,control,CE(20:4)+H,CE,0.0205,1
20231228_Laezza_Lipidomics_#2,82,control,CE(20:4)+H,CE,0.0141,1
20231228_Laezza_Lipidomics_#3,92,control,CE(20:4)+H,CE,0.0128,1
20231228_Laezza_Lipidomics_#4,105,control,CE(20:4)+H,CE,0.00859,1
20231228_Laezza_Lipidomics_#5,100,control,CE(20:4)+H,CE,0.00684,1
20231228_Laezza_Lipidomics_#6,52,control,CE(20:4)+H,CE,0.0038,1
20231228_Laezza_Lipidomics_#7,86,control,CE(20:4)+H,CE,0.0189,1
20231228_Laezza_Lipidomics_#8,97,control,CE(20:4)+H,CE,0.00884,1
20231228_Laezza_Lipidomics_#9,116,control,CE(20:4)+H,CE,0.00888,1
20231228_Laezza_Lipidomics_#10,101,control,CE(20:4)+H,CE,0.0117,1
20231228_Laezza_Lipidomics_#11,135,deltamethrin,CE(20:4)+H,CE,0.0138,1
20231228_Laezza_Lipidomics_#12,99,deltamethrin,CE(20:4)+H,CE,0.0107,1
20231228_Laezza_Lipidomics_#13,113,deltamethrin,CE(20:4)+H,CE,0.0136,1
20231228_Laezza_Lipidomics_#14,94,deltamethrin,CE(20:4)+H,CE,0.00889,1
20231228_Laezza_Lipidomics_#15,113,deltamethrin,CE(20:4)+H,CE,0.00965,1
20231228_Laezza_Lipidomics_#16,111,deltamethrin,CE(20:4)+H,CE,0.019,1
20231228_Laezza_Lipidomics_#17,104,deltamethrin,CE(20:4)+H,CE,0.0238,1
20231228_Laezza_Lipidomics_#18,97,deltamethrin,CE(20:4)+H,CE,0.0159,1
20231228_Laezza_Lipidomics_#19,101,deltamethrin,CE(20:4)+H,CE,0.0464,1
20231228_Laezza_Lipidomics_#20,126,deltamethrin,CE(20:4)+H,CE,0.00618,1
20231228_Laezza_Lipidomics_#1,106,control,CE(22:6)+H,CE,0.0086,1
20231228_Laezza_Lipidomics_#2,82,control,CE(22:6)+H,CE,0.00981,1
20231228_Laezza_Lipidomics_#3,92,control,CE(22:6)+H,CE,0.0053,1
20231228_Laezza_Lipidomics_#4,105,control,CE(22:6)+H,CE,0.00435,1
20231228_Laezza_Lipidomics_#5,100,control,CE(22:6)+H,CE,0.0035,1
20231228_Laezza_Lipidomics_#6,52,control,CE(22:6)+H,CE,0.00356,1
20231228_Laezza_Lipidomics_#7,86,control,CE(22:6)+H,CE,0.00998,1
20231228_Laezza_Lipidomics_#8,97,control,CE(22:6)+H,CE,0.00455,1
20231228_Laezza_Lipidomics_#9,116,control,CE(22:6)+H,CE,0.00225,1
20231228_Laezza_Lipidomics_#10,101,control,CE(22:6)+H,CE,0.00334,1
20231228_Laezza_Lipidomics_#11,135,deltamethrin,CE(22:6)+H,CE,0.00869,1
20231228_Laezza_Lipidomics_#12,99,deltamethrin,CE(22:6)+H,CE,0.00695,1
20231228_Laezza_Lipidomics_#13,113,deltamethrin,CE(22:6)+H,CE,0.00274,1
20231228_Laezza_Lipidomics_#14,94,deltamethrin,CE(22:6)+H,CE,0.00235,1
20231228_Laezza_Lipidomics_#15,113,deltamethrin,CE(22:6)+H,CE,0.00274,1
20231228_Laezza_Lipidomics_#16,111,deltamethrin,CE(22:6)+H,CE,0.0116,1
20231228_Laezza_Lipidomics_#17,104,deltamethrin,CE(22:6)+H,CE,0.00226,1
20231228_Laezza_Lipidomics_#18,97,deltamethrin,CE(22:6)+H,CE,0.00901,1
20231228_Laezza_Lipidomics_#19,101,deltamethrin,CE(22:6)+H,CE,0.0216,1
20231228_Laezza_Lipidomics_#20,126,deltamethrin,CE(22:6)+H,CE,0.00562,1
20231228_Laezza_Lipidomics_#1,106,control,CER(14:0)+H,CER,0.000943,1
20231228_Laezza_Lipidomics_#2,82,control,CER(14:0)+H,CER,0.000761,1
20231228_Laezza_Lipidomics_#3,92,control,CER(14:0)+H,CER,0.00102,1
20231228_Laezza_Lipidomics_#4,105,control,CER(14:0)+H,CER,0.000952,1
20231228_Laezza_Lipidomics_#5,100,control,CER(14:0)+H,CER,0.000758,1
20231228_Laezza_Lipidomics_#6,52,control,CER(14:0)+H,CER,0.000445,1
20231228_Laezza_Lipidomics_#7,86,control,CER(14:0)+H,CER,0.000802,1
20231228_Laezza_Lipidomics_#8,97,control,CER(14:0)+H,CER,0.000857,1
20231228_Laezza_Lipidomics_#9,116,control,CER(14:0)+H,CER,0.000573,1
20231228_Laezza_Lipidomics_#10,101,control,CER(14:0)+H,CER,0.00099,1
20231228_Laezza_Lipidomics_#11,135,deltamethrin,CER(14:0)+H,CER,0.000679,1
20231228_Laezza_Lipidomics_#12,99,deltamethrin,CER(14:0)+H,CER,0.000921,1
20231228_Laezza_Lipidomics_#13,113,deltamethrin,CER(14:0)+H,CER,0.000811,1
20231228_Laezza_Lipidomics_#14,94,deltamethrin,CER(14:0)+H,CER,0.000754,1
20231228_Laezza_Lipidomics_#15,113,deltamethrin,CER(14:0)+H,CER,0.000655,1
20231228_Laezza_Lipidomics_#16,111,deltamethrin,CER(14:0)+H,CER,0.00041,1
20231228_Laezza_Lipidomics_#17,104,deltamethrin,CER(14:0)+H,CER,0.000855,1
20231228_Laezza_Lipidomics_#18,97,deltamethrin,CER(14:0)+H,CER,0.000485,1
20231228_Laezza_Lipidomics_#19,101,deltamethrin,CER(14:0)+H,CER,0.000801,1
20231228_Laezza_Lipidomics_#20,126,deltamethrin,CER(14:0)+H,CER,0.00117,1
20231228_Laezza_Lipidomics_#1,106,control,CER(16:0)+H,CER,0.0204,1
20231228_Laezza_Lipidomics_#2,82,control,CER(16:0)+H,CER,0.0204,1
20231228_Laezza_Lipidomics_#3,92,control,CER(16:0)+H,CER,0.0227,1
20231228_Laezza_Lipidomics_#4,105,control,CER(16:0)+H,CER,0.0181,1
20231228_Laezza_Lipidomics_#5,100,control,CER(16:0)+H,CER,0.0208,1
20231228_Laezza_Lipidomics_#6,52,control,CER(16:0)+H,CER,0.0144,1
20231228_Laezza_Lipidomics_#7,86,control,CER(16:0)+H,CER,0.0199,1
20231228_Laezza_Lipidomics_#8,97,control,CER(16:0)+H,CER,0.0267,1
20231228_Laezza_Lipidomics_#9,116,control,CER(16:0)+H,CER,0.0156,1
20231228_Laezza_Lipidomics_#10,101,control,CER(16:0)+H,CER,0.0203,1
20231228_Laezza_Lipidomics_#11,135,deltamethrin,CER(16:0)+H,CER,0.0127,1
20231228_Laezza_Lipidomics_#12,99,deltamethrin,CER(16:0)+H,CER,0.0279,1
20231228_Laezza_Lipidomics_#13,113,deltamethrin,CER(16:0)+H,CER,0.0168,1
20231228_Laezza_Lipidomics_#14,94,deltamethrin,CER(16:0)+H,CER,0.0213,1
20231228_Laezza_Lipidomics_#15,113,deltamethrin,CER(16:0)+H,CER,0.0159,1
20231228_Laezza_Lipidomics_#16,111,deltamethrin,CER(16:0)+H,CER,0.0162,1
20231228_Laezza_Lipidomics_#17,104,deltamethrin,CER(16:0)+H,CER,0.0164,1
20231228_Laezza_Lipidomics_#18,97,deltamethrin,CER(16:0)+H,CER,0.0182,1
20231228_Laezza_Lipidomics_#19,101,deltamethrin,CER(16:0)+H,CER,0.017,1
20231228_Laezza_Lipidomics_#20,126,deltamethrin,CER(16:0)+H,CER,0.0241,1
20231228_Laezza_Lipidomics_#1,106,control,CER(18:0)+H,CER,0.619,1
20231228_Laezza_Lipidomics_#2,82,control,CER(18:0)+H,CER,0.733,1
20231228_Laezza_Lipidomics_#3,92,control,CER(18:0)+H,CER,0.696,1
20231228_Laezza_Lipidomics_#4,105,control,CER(18:0)+H,CER,0.632,1
20231228_Laezza_Lipidomics_#5,100,control,CER(18:0)+H,CER,0.664,1
20231228_Laezza_Lipidomics_#6,52,control,CER(18:0)+H,CER,0.496,1
20231228_Laezza_Lipidomics_#7,86,control,CER(18:0)+H,CER,0.73,1
20231228_Laezza_Lipidomics_#8,97,control,CER(18:0)+H,CER,0.852,1
20231228_Laezza_Lipidomics_#9,116,control,CER(18:0)+H,CER,0.519,1
20231228_Laezza_Lipidomics_#10,101,control,CER(18:0)+H,CER,0.626,1
20231228_Laezza_Lipidomics_#11,135,deltamethrin,CER(18:0)+H,CER,0.44,1
20231228_Laezza_Lipidomics_#12,99,deltamethrin,CER(18:0)+H,CER,0.939,1
20231228_Laezza_Lipidomics_#13,113,deltamethrin,CER(18:0)+H,CER,0.523,1
20231228_Laezza_Lipidomics_#14,94,deltamethrin,CER(18:0)+H,CER,0.604,1
20231228_Laezza_Lipidomics_#15,113,deltamethrin,CER(18:0)+H,CER,0.565,1
20231228_Laezza_Lipidomics_#16,111,deltamethrin,CER(18:0)+H,CER,0.635,1
20231228_Laezza_Lipidomics_#17,104,deltamethrin,CER(18:0)+H,CER,0.523,1
20231228_Laezza_Lipidomics_#18,97,deltamethrin,CER(18:0)+H,CER,0.622,1
20231228_Laezza_Lipidomics_#19,101,deltamethrin,CER(18:0)+H,CER,0.519,1
20231228_Laezza_Lipidomics_#20,126,deltamethrin,CER(18:0)+H,CER,0.619,1
20231228_Laezza_Lipidomics_#1,106,control,CER(18:1)+H,CER,0.00757,1
20231228_Laezza_Lipidomics_#2,82,control,CER(18:1)+H,CER,0.0106,1
20231228_Laezza_Lipidomics_#3,92,control,CER(18:1)+H,CER,0.0145,1
20231228_Laezza_Lipidomics_#4,105,control,CER(18:1)+H,CER,0.0138,1
20231228_Laezza_Lipidomics_#5,100,control,CER(18:1)+H,CER,0.0158,1
20231228_Laezza_Lipidomics_#6,52,control,CER(18:1)+H,CER,0.00553,1
20231228_Laezza_Lipidomics_#7,86,control,CER(18:1)+H,CER,0.0103,1
20231228_Laezza_Lipidomics_#8,97,control,CER(18:1)+H,CER,0.0175,1
20231228_Laezza_Lipidomics_#9,116,control,CER(18:1)+H,CER,0.00778,1
20231228_Laezza_Lipidomics_#10,101,control,CER(18:1)+H,CER,0.00867,1
20231228_Laezza_Lipidomics_#11,135,deltamethrin,CER(18:1)+H,CER,0.00645,1
20231228_Laezza_Lipidomics_#12,99,deltamethrin,CER(18:1)+H,CER,0.0134,1
20231228_Laezza_Lipidomics_#13,113,deltamethrin,CER(18:1)+H,CER,0.0106,1
20231228_Laezza_Lipidomics_#14,94,deltamethrin,CER(18:1)+H,CER,0.0119,1
20231228_Laezza_Lipidomics_#15,113,deltamethrin,CER(18:1)+H,CER,0.0117,1
20231228_Laezza_Lipidomics_#16,111,deltamethrin,CER(18:1)+H,CER,0.00958,1
20231228_Laezza_Lipidomics_#17,104,deltamethrin,CER(18:1)+H,CER,0.0107,1
20231228_Laezza_Lipidomics_#18,97,deltamethrin,CER(18:1)+H,CER,0.0141,1
20231228_Laezza_Lipidomics_#19,101,deltamethrin,CER(18:1)+H,CER,0.00753,1
20231228_Laezza_Lipidomics_#20,126,deltamethrin,CER(18:1)+H,CER,0.013,1
20231228_Laezza_Lipidomics_#1,106,control,CER(20:0)+H,CER,0.019,1
20231228_Laezza_Lipidomics_#2,82,control,CER(20:0)+H,CER,0.0196,1
20231228_Laezza_Lipidomics_#3,92,control,CER(20:0)+H,CER,0.0197,1
20231228_Laezza_Lipidomics_#4,105,control,CER(20:0)+H,CER,0.0164,1
20231228_Laezza_Lipidomics_#5,100,control,CER(20:0)+H,CER,0.0138,1
20231228_Laezza_Lipidomics_#6,52,control,CER(20:0)+H,CER,0.0123,1
20231228_Laezza_Lipidomics_#7,86,control,CER(20:0)+H,CER,0.0216,1
20231228_Laezza_Lipidomics_#8,97,control,CER(20:0)+H,CER,0.0209,1
20231228_Laezza_Lipidomics_#9,116,control,CER(20:0)+H,CER,0.0134,1
20231228_Laezza_Lipidomics_#10,101,control,CER(20:0)+H,CER,0.0173,1
20231228_Laezza_Lipidomics_#11,135,deltamethrin,CER(20:0)+H,CER,0.0176,1
20231228_Laezza_Lipidomics_#12,99,deltamethrin,CER(20:0)+H,CER,0.0254,1
20231228_Laezza_Lipidomics_#13,113,deltamethrin,CER(20:0)+H,CER,0.0125,1
20231228_Laezza_Lipidomics_#14,94,deltamethrin,CER(20:0)+H,CER,0.0148,1
20231228_Laezza_Lipidomics_#15,113,deltamethrin,CER(20:0)+H,CER,0.014,1
20231228_Laezza_Lipidomics_#16,111,deltamethrin,CER(20:0)+H,CER,0.0168,1
20231228_Laezza_Lipidomics_#17,104,deltamethrin,CER(20:0)+H,CER,0.0121,1
20231228_Laezza_Lipidomics_#18,97,deltamethrin,CER(20:0)+H,CER,0.0157,1
20231228_Laezza_Lipidomics_#19,101,deltamethrin,CER(20:0)+H,CER,0.0152,1
20231228_Laezza_Lipidomics_#20,126,deltamethrin,CER(20:0)+H,CER,0.0203,1
20231228_Laezza_Lipidomics_#1,106,control,CER(20:1)+H,CER,0.00234,1
20231228_Laezza_Lipidomics_#2,82,control,CER(20:1)+H,CER,0.00342,1
20231228_Laezza_Lipidomics_#3,92,control,CER(20:1)+H,CER,0.00412,1
20231228_Laezza_Lipidomics_#4,105,control,CER(20:1)+H,CER,0.00236,1
20231228_Laezza_Lipidomics_#5,100,control,CER(20:1)+H,CER,0.00207,1
20231228_Laezza_Lipidomics_#6,52,control,CER(20:1)+H,CER,0.00103,1
20231228_Laezza_Lipidomics_#7,86,control,CER(20:1)+H,CER,0.00288,1
20231228_Laezza_Lipidomics_#8,97,control,CER(20:1)+H,CER,0.00344,1
20231228_Laezza_Lipidomics_#9,116,control,CER(20:1)+H,CER,0.00218,1
20231228_Laezza_Lipidomics_#10,101,control,CER(20:1)+H,CER,0.00303,1
20231228_Laezza_Lipidomics_#11,135,deltamethrin,CER(20:1)+H,CER,0.00192,1
20231228_Laezza_Lipidomics_#12,99,deltamethrin,CER(20:1)+H,CER,0.00416,1
20231228_Laezza_Lipidomics_#13,113,deltamethrin,CER(20:1)+H,CER,0.00251,1
20231228_Laezza_Lipidomics_#14,94,deltamethrin,CER(20:1)+H,CER,0.00202,1
20231228_Laezza_Lipidomics_#15,113,deltamethrin,CER(20:1)+H,CER,0.00346,1
20231228_Laezza_Lipidomics_#16,111,deltamethrin,CER(20:1)+H,CER,0.00278,1
20231228_Laezza_Lipidomics_#17,104,deltamethrin,CER(20:1)+H,CER,0.00156,1
20231228_Laezza_Lipidomics_#18,97,deltamethrin,CER(20:1)+H,CER,0.00215,1
20231228_Laezza_Lipidomics_#19,101,deltamethrin,CER(20:1)+H,CER,0.00165,1
20231228_Laezza_Lipidomics_#20,126,deltamethrin,CER(20:1)+H,CER,0.00323,1
20231228_Laezza_Lipidomics_#1,106,control,CER(22:0)+H,CER,0.0114,1
20231228_Laezza_Lipidomics_#2,82,control,CER(22:0)+H,CER,0.0118,1
20231228_Laezza_Lipidomics_#3,92,control,CER(22:0)+H,CER,0.0108,1
20231228_Laezza_Lipidomics_#4,105,control,CER(22:0)+H,CER,0.0103,1
20231228_Laezza_Lipidomics_#5,100,control,CER(22:0)+H,CER,0.00789,1
20231228_Laezza_Lipidomics_#6,52,control,CER(22:0)+H,CER,0.00918,1
20231228_Laezza_Lipidomics_#7,86,control,CER(22:0)+H,CER,0.01,1
20231228_Laezza_Lipidomics_#8,97,control,CER(22:0)+H,CER,0.0132,1
20231228_Laezza_Lipidomics_#9,116,control,CER(22:0)+H,CER,0.0085,1
20231228_Laezza_Lipidomics_#10,101,control,CER(22:0)+H,CER,0.00974,1
20231228_Laezza_Lipidomics_#11,135,deltamethrin,CER(22:0)+H,CER,0.00682,1
20231228_Laezza_Lipidomics_#12,99,deltamethrin,CER(22:0)+H,CER,0.0142,1
20231228_Laezza_Lipidomics_#13,113,deltamethrin,CER(22:0)+H,CER,0.00798,1
20231228_Laezza_Lipidomics_#14,94,deltamethrin,CER(22:0)+H,CER,0.00866,1
20231228_Laezza_Lipidomics_#15,113,deltamethrin,CER(22:0)+H,CER,0.0064,1
20231228_Laezza_Lipidomics_#16,111,deltamethrin,CER(22:0)+H,CER,0.00963,1
20231228_Laezza_Lipidomics_#17,104,deltamethrin,CER(22:0)+H,CER,0.00722,1
20231228_Laezza_Lipidomics_#18,97,deltamethrin,CER(22:0)+H,CER,0.00922,1
20231228_Laezza_Lipidomics_#19,101,deltamethrin,CER(22:0)+H,CER,0.00779,1
20231228_Laezza_Lipidomics_#20,126,deltamethrin,CER(22:0)+H,CER,0.0113,1
20231228_Laezza_Lipidomics_#1,106,control,CER(22:1)+H,CER,0.0139,1
20231228_Laezza_Lipidomics_#2,82,control,CER(22:1)+H,CER,0.00842,1
20231228_Laezza_Lipidomics_#3,92,control,CER(22:1)+H,CER,0.00867,1
20231228_Laezza_Lipidomics_#4,105,control,CER(22:1)+H,CER,0.00525,1
20231228_Laezza_Lipidomics_#5,100,control,CER(22:1)+H,CER,0.0073,1
20231228_Laezza_Lipidomics_#6,52,control,CER(22:1)+H,CER,0.00254,1
20231228_Laezza_Lipidomics_#7,86,control,CER(22:1)+H,CER,0.0133,1
20231228_Laezza_Lipidomics_#8,97,control,CER(22:1)+H,CER,0.00857,1
20231228_Laezza_Lipidomics_#9,116,control,CER(22:1)+H,CER,0.0105,1
20231228_Laezza_Lipidomics_#10,101,control,CER(22:1)+H,CER,0.00953,1
20231228_Laezza_Lipidomics_#11,135,deltamethrin,CER(22:1)+H,CER,0.00443,1
20231228_Laezza_Lipidomics_#12,99,deltamethrin,CER(22:1)+H,CER,0.00904,1
20231228_Laezza_Lipidomics_#13,113,deltamethrin,CER(22:1)+H,CER,0.00732,1
20231228_Laezza_Lipidomics_#14,94,deltamethrin,CER(22:1)+H,CER,0.00674,1
20231228_Laezza_Lipidomics_#15,113,deltamethrin,CER(22:1)+H,CER,0.00603,1
20231228_Laezza_Lipidomics_#16,111,deltamethrin,CER(22:1)+H,CER,0.00557,1
20231228_Laezza_Lipidomics_#17,104,deltamethrin,CER(22:1)+H,CER,0.00712,1
20231228_Laezza_Lipidomics_#18,97,deltamethrin,CER(22:1)+H,CER,0.00682,1
20231228_Laezza_Lipidomics_#19,101,deltamethrin,CER(22:1)+H,CER,0.00532,1
20231228_Laezza_Lipidomics_#20,126,deltamethrin,CER(22:1)+H,CER,0.00986,1
20231228_Laezza_Lipidomics_#1,106,control,CER(24:0)+H,CER,0.014,1
20231228_Laezza_Lipidomics_#2,82,control,CER(24:0)+H,CER,0.016,1
20231228_Laezza_Lipidomics_#3,92,control,CER(24:0)+H,CER,0.0159,1
20231228_Laezza_Lipidomics_#4,105,control,CER(24:0)+H,CER,0.0138,1
20231228_Laezza_Lipidomics_#5,100,control,CER(24:0)+H,CER,0.0102,1
20231228_Laezza_Lipidomics_#6,52,control,CER(24:0)+H,CER,0.00954,1
20231228_Laezza_Lipidomics_#7,86,control,CER(24:0)+H,CER,0.0144,1
20231228_Laezza_Lipidomics_#8,97,control,CER(24:0)+H,CER,0.0187,1
20231228_Laezza_Lipidomics_#9,116,control,CER(24:0)+H,CER,0.0135,1
20231228_Laezza_Lipidomics_#10,101,control,CER(24:0)+H,CER,0.0145,1
20231228_Laezza_Lipidomics_#11,135,deltamethrin,CER(24:0)+H,CER,0.0102,1
20231228_Laezza_Lipidomics_#12,99,deltamethrin,CER(24:0)+H,CER,0.0168,1
20231228_Laezza_Lipidomics_#13,113,deltamethrin,CER(24:0)+H,CER,0.00942,1
20231228_Laezza_Lipidomics_#14,94,deltamethrin,CER(24:0)+H,CER,0.00941,1
20231228_Laezza_Lipidomics_#15,113,deltamethrin,CER(24:0)+H,CER,0.00964,1
20231228_Laezza_Lipidomics_#16,111,deltamethrin,CER(24:0)+H,CER,0.0133,1
20231228_Laezza_Lipidomics_#17,104,deltamethrin,CER(24:0)+H,CER,0.00839,1
20231228_Laezza_Lipidomics_#18,97,deltamethrin,CER(24:0)+H,CER,0.0135,1
20231228_Laezza_Lipidomics_#19,101,deltamethrin,CER(24:0)+H,CER,0.0103,1
20231228_Laezza_Lipidomics_#20,126,deltamethrin,CER(24:0)+H,CER,0.012,1
20231228_Laezza_Lipidomics_#1,106,control,CER(24:1)+H,CER,0.054,1
20231228_Laezza_Lipidomics_#2,82,control,CER(24:1)+H,CER,0.0491,1
20231228_Laezza_Lipidomics_#3,92,control,CER(24:1)+H,CER,0.0534,1
20231228_Laezza_Lipidomics_#4,105,control,CER(24:1)+H,CER,0.0484,1
20231228_Laezza_Lipidomics_#5,100,control,CER(24:1)+H,CER,0.0414,1
20231228_Laezza_Lipidomics_#6,52,control,CER(24:1)+H,CER,0.0286,1
20231228_Laezza_Lipidomics_#7,86,control,CER(24:1)+H,CER,0.0533,1
